id,validation_decision,expert_corrected_sources,expert_corrected_ground_truth,expert_notes,category,level,skill,language,type,difficulty,question,ground_truth,expected_sources,split,current_validation_status
d11,,,,,double_correction,general,general,fr,procedural,hard,Que fait le correcteur n°2 lorsqu'il observe un désaccord (et non une simple erreur de calcul) avec le correcteur n°1 ?,"En cas de désaccord, le correcteur n°2 signale discrètement les questions concernées (par exemple avec un point d'interrogation au crayon de papier) afin de les identifier rapidement, puis une concertation/harmonisation entre les deux correcteurs est organisée. Il utilise un stylo d'une couleur différente de celle du correcteur n°1.",manuel-exacor.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d12,,,,,methodologie,B1,PO,fr,analytical,medium,"Au niveau B1 en production orale, que doit faire l'examinateur si la production du candidat est trop courte, et que valorise-t-il ?","Si la production est trop courte, l'examinateur doit relancer le candidat ou lui demander des précisions. Au niveau B1 on attend une argumentation non complexe et linéaire ; l'examinateur valorise l'organisation du discours, notamment les articulateurs tels que « d'abord/après/enfin » et les locutions exprimant la cause et la conséquence.",PO_B1.pdf; B1_Grille_PO.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d13,,,,,methodologie,general,PE,fr,procedural,medium,"Quelle est la règle de décompte des mots en production écrite, et donnez des exemples de comptage.","Tout ce qui est produit par le candidat — sauf les mots ou ensembles de signes barrés ou raturés — doit être comptabilisé (y compris la date, l'objet de la lettre, la signature, etc.), quel que soit le niveau de A1 à C2. Exemples : « un sujet » = 2 mots, « c'est-à-dire » = 1 mot, « je l'ai vu avant-hier » = 4 mots.",manuel-exacor.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d14,,,,,copie,general,PE,fr,analytical,hard,Comment évalue-t-on une copie en hors-sujet complet (thématique et discursif) en production écrite ?,"En cas de hors-sujet complet, le candidat obtient la note de 0 aux critères Réalisation de la tâche, Cohérence et cohésion et Adéquation sociolinguistique. Pour les critères Lexique et Morphosyntaxe, le candidat ne peut être identifié ni « Au niveau » ni « Au niveau + ».",manuel-exacor.pdf; Présentation_copies_atypiques_VF.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d15,,,,,grille,B2,PO,fr,factoid,easy,Quelles sont les durées des deux parties de l'épreuve de production orale du DELF B2 ?,La production orale du DELF B2 comprend un monologue suivi de 5 à 7 minutes et un exercice en interaction de 10 à 13 minutes.,B2_Grille_PO.pdf; PO_B2.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d16,,,,,presentation,general,general,fr,definition,easy,Quel est le rôle de l'examinateur-correcteur dans le dispositif DELF/DALF ?,"L'examinateur-correcteur du DELF et du DALF participe à l'évaluation des épreuves. Dans le cadre de la double évaluation, il intervient comme examinateur pour l'épreuve individuelle (production orale) ou comme correcteur pour les épreuves collectives, afin de garantir la fidélité et la validité des évaluations.",manuel-exacor.pdf; Diaporama_rôle_EC_VF.pptx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d17,,,,,methodologie,general,PE,fr,analytical,medium,Le critère lexical peut-il être pénalisé même si le candidat respecte la consigne ? Dans quel cas ?,"Oui. Quel que soit le niveau, les correcteurs pénalisent le candidat dans le critère lexical si le vocabulaire employé par ailleurs dans la production est trop pauvre et/ou répétitif.",manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d18,,,,,double_correction,general,general,tr,procedural,hard,İki düzeltici arasında hiçbir fark olmadığında harmonizasyon (harmonisation) gerekir mi ve ikinci düzeltici ne yapar?,"Hayır, iki düzeltici arasında hiçbir fark gözlenmediğinde harmonizasyon yapılmaz. İkinci düzeltici, birinci düzelticininkinden farklı renkte bir kalemle egzersiz notunu görünür bir işaretle onaylar ve nihai notları kapak sayfasına (page de garde) aktarır.",manuel-exacor.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d19,,,,,descripteur,general,general,fr,definition,easy,Combien de niveaux compte le CECRL et comment sont-ils regroupés ?,"Le CECRL compte six niveaux : A1 et A2 (utilisateur élémentaire), B1 et B2 (utilisateur indépendant), C1 et C2 (utilisateur expérimenté). Chaque niveau est défini par des descripteurs de compétences.",Descripteurs_CECRL_A1_B2_VF_a_donner.pdf; Echelle globale.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d20,,,,,presentation,general,general,tr,factoid,easy,DELF ve DALF diplomaları hangi CECRL seviyelerini kapsar?,DELF (Diplôme d'études en langue française) A1'den B2'ye kadar olan seviyeleri kapsar; DALF (Diplôme approfondi de langue française) ise C1 ve C2 seviyelerini kapsar.,Dispositif_DELF-DALF_v2022.pptx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d21,,,,,presentation,general,general,fr,factoid,medium,Quelle est la note totale requise et la note minimale par épreuve pour obtenir un diplôme DELF/DALF ?,La note totale est sur 100 et le seuil de réussite est fixé à 50/100. Une note inférieure à 5/25 à l'une des épreuves est éliminatoire : dans ce cas le candidat est ajourné même si le total atteint 50.,manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d22,,,,,presentation,general,general,tr,factoid,easy,Her DELF/DALF sınavı hangi dört epreuveden oluşur?,"Her diploma her bir dilsel beceriye karşılık gelen dört epreuveden oluşur: compréhension de l'oral (sözlü anlama), compréhension des écrits (yazılı anlama), production écrite (yazılı üretim) ve production orale (sözlü üretim).",Dispositif_DELF-DALF_v2022.pptx; Tableau_epreuves_DD_AS.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d23,,,,,copie,general,PE,fr,analytical,medium,Une copie où le candidat ne respecte que partiellement la consigne est-elle un hors-sujet ?,"Non. Si le candidat oublie un acte de parole, il s'agit d'un non-respect partiel de la consigne ; ce n'est pas un cas de hors-sujet.",Présentation_copies_atypiques_VF.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d24,,,,,copie,general,PE,tr,definition,medium,« Copie atypique » nedir? Hangi farklı hors-sujet türleri vardır?,"Copie atypique, olağandışı/sıra dışı bir kopyadır. Farklı hors-sujet türleri arasında talimata kısmi uyumsuzluk (hors-sujet değildir), tematik hors-sujet ve söylemsel (discursif) hors-sujet bulunur; tam hors-sujet hem tematik hem söylemsel olandır.",Présentation_copies_atypiques_VF.pptx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d25,,,,,descripteur,general,general,fr,definition,easy,Qu'est-ce qu'un « descripteur » et à quoi sert-il dans l'évaluation ?,Un descripteur est un énoncé décrivant un niveau de compétence ; le correcteur s'en sert pour positionner la production du candidat sur le critère concerné.,Descripteurs_CECRL_A1_B2_VF_a_donner.pdf; B1_Descripteurs_PO.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d26,,,,,grille,general,PE,tr,definition,easy,Yazılı üretim grilinde hangi beş değerlendirme kriteri ortak olarak yer alır?,"Yazılı üretim grillerinde ortak beş kriter şunlardır: Réalisation de la tâche (görevin gerçekleştirilmesi), Cohérence et cohésion, Adéquation sociolinguistique, Lexique ve Morphosyntaxe.",B1_Grille_PE.pdf; B2_Grille_PE.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d27,,,,,copie,general,PE,fr,analytical,medium,Le candidat est-il pénalisé s'il écrit beaucoup plus que demandé (par ex. 75 mots au lieu de 40) ?,Non. Écrire plus que demandé n'est pas sanctionné ni évalué dans un critère spécifique (hormis dans la synthèse du C1).,Introduction_critères_corriges.docx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d28,,,,,copie,general,PE,tr,analytical,medium,Bir aday istenen 40 kelime yerine yalnızca 18 kelime yazarsa kopya nasıl puanlanır?,Bu durumda « Manque de matière évaluable » (değerlendirilebilir içerik eksikliği) kutusu « anomalies » bölümünde işaretlenir ve kopya 0 alır.,Introduction_critères_corriges.docx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d29,,,,,methodologie,general,PE,fr,analytical,hard,"Si le candidat doit décrire plusieurs activités mais n'en mentionne qu'une, dans quel critère cela est-il évalué ?","Cela est évalué dans le critère « Réalisation de la tâche », car les exigences de la tâche ne sont pas toutes satisfaites.",Introduction_critères_corriges.docx; manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d30,,,,,grille,A1,PE,tr,factoid,easy,DELF A1 yazılı üretim grilinde hangi anomaliler (anomalies) işaretlenebilir?,"DELF A1 yazılı üretim grilinde, üretimde anomali varsa ilgili kutular işaretlenir; bunlar arasında hors-sujet ve « Manque de matière évaluable » (değerlendirilebilir içerik eksikliği) yer alır.",A1_Grille_PE.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d31,,,,,presentation,general,general,fr,definition,medium,Pourquoi le rôle de l'examinateur-correcteur est-il primordial ?,"Le rôle de l'examinateur-correcteur est primordial pour donner au candidat toutes les chances de réaliser une bonne performance, pour garantir la fiabilité des diplômes et l'équité des évaluations.",Diaporama_rôle_EC_VF.pptx,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d32,,,,,double_correction,general,general,tr,procedural,medium,"Düzeltici, her egzersizin notunu kopyanın neresine aktarır?",Düzeltici puanları toplar ve her egzersizin notunu kopyanın kapak sayfasına (page de garde) aktarır.,manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d33,,,,,double_correction,general,general,fr,procedural,medium,Que fait le correcteur n°2 en cas d'erreur de calcul ou de barème (et non de désaccord) ?,"Le correcteur n°2 barre et corrige l'erreur de comptage ou l'erreur manifeste de barème, puis recalcule la note et le total ; aucune harmonisation n'est nécessaire dans ce cas.",manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d34,,,,,procedure,general,general,tr,factoid,medium,DELF/DALF'ın yönetimi nasıl düzenlenmiştir?,"DELF/DALF'ın yönetimi hem merkezî hem de yerel (décentralisée) yapıdadır; bunlar Millî Eğitim Bakanlığı'nın devlet diplomalarıdır ve Fransa'da rektörlükler (rectorats) dağıtım, sınav merkezlerinin takibi ve prosedürlere uyumdan sorumludur.",Dispositif_DELF-DALF_v2022.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d35,,,,,double_correction,general,general,fr,procedural,hard,Quelle est la procédure suivie en cas de désaccord entre les deux correcteurs ?,"Les questions concernées sont signalées au crayon de papier par un point d'interrogation afin de les repérer facilement, puis une concertation entre les deux correcteurs est organisée pour harmoniser leurs notations.",manuel-exacor.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d36,,,,,grille,B1,PE,fr,factoid,medium,Quels sont les échelons de notation du critère « Réalisation de la tâche » dans la grille de production écrite du DELF B1 ?,"Dans la grille de production écrite du DELF B1, le critère « Réalisation de la tâche » est noté selon les échelons 0, 1, 3 et 5 (Non répondu / En dessous du niveau ciblé / B1 / B1+).",B1_Grille_PE.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d37,,,,,grille,B1,PO,tr,factoid,medium,DELF B1 sözlü üretim epreuvesi hangi üç görevden (tâche) oluşur?,"DELF B1 sözlü üretim grili üç görev içerir: entretien dirigé (yönlendirilmiş görüşme, 2-3 dk), exercice en interaction (etkileşimli alıştırma, 3-4 dk) ve expression d'un point de vue (görüş bildirme, 5-7 dk).",B1_Grille_PO.pdf; PO_B1.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d38,,,,,grille,A1,PO,fr,definition,easy,Quelles sont les trois tâches de la grille de production orale du DELF A1 ?,"La grille de production orale du DELF A1 comporte trois tâches : l'entretien dirigé (environ 1 minute), l'échange d'informations (environ 2 minutes) et le dialogue simulé (environ 2 minutes).",A1_Grille_PO.pdf; PO_A1.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d39,,,,,grille,A2,PO,fr,factoid,medium,De quelles trois parties se compose l'épreuve de production orale du DELF A2 ?,"La grille de production orale du DELF A2 comporte trois tâches : l'entretien dirigé (environ 1 min 30), le monologue suivi (environ 2 minutes) et l'exercice en interaction (3 à 4 minutes).",A2_Grille_PO.pdf; PO_A2.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d40,,,,,grille,C1,PE,tr,factoid,hard,DALF C1 yazılı üretim epreuvesi hangi iki alıştırmadan oluşur?,DALF C1 yazılı üretim iki alıştırmadan oluşur: synthèse de documents (belge sentezi) ve essai argumenté (gerekçeli deneme).,dalf-c1sujet-demo-candidat-coll.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d41,,,,,descripteur,B1,general,fr,definition,easy,"Selon l'échelle globale du CECRL, que peut faire un utilisateur de niveau B1 ?","L'utilisateur B1 peut comprendre les points essentiels quand un langage clair et standard est utilisé et s'il s'agit de choses familières (travail, école, loisirs) ; il peut se débrouiller dans la plupart des situations de voyage et produire un discours simple et cohérent sur des sujets familiers.",Echelle globale.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d42,,,,,descripteur,A1,PO,tr,definition,medium,DELF A1 sözlü üretiminde « Réalisation de la tâche » için hedef seviyedeki (au niveau ciblé) descripteur ne der?,"Hedef seviyede aday kendini tanıtabilir ve kimliği ile yakın çevresi hakkında basit terimlerle, art arda sıralanmış (juxtaposées) fikirler biçiminde konuşabilir; ancak basit ve öngörülebilir bazı sorular anlaşılmayabilir.",A1_Descripteurs_PO.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d43,,,,,descripteur,B2,PO,fr,analytical,medium,Qu'attend-on du candidat pour la « Réalisation de la tâche » en production orale du DELF B2 ?,"Au niveau B2, le candidat peut identifier la thématique soulevée par le sujet et présenter la problématique au moyen d'une introduction ; il peut donner son point de vue en s'appuyant sur des arguments et en apportant des justifications pour ou contre.",B2_Descripteurs_PO.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d44,,,,,methodologie,C1,PO,fr,procedural,medium,"De combien de temps de préparation dispose le candidat pour l'exposé de la production orale du DALF C1, et que peut-il utiliser ?",Le candidat dispose de 60 minutes de préparation pour l'exposé et peut utiliser un dictionnaire monolingue français disponible dans la salle d'examen ; il ne peut pas apporter son dictionnaire personnel.,DALF C1-PO-Méthodologie-VD.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d45,,,,,methodologie,general,PE,tr,procedural,easy,Üretilmesi gereken minimum kelime sayısına uyulmaması nasıl bir sonuç doğurur?,"Minimum kelime sayısına uyulmaması, puan açısından bir yaptırıma (sanction) yol açabilir; bunun göstergeleri değerlendirme grilinin « anomalies » bölümünde belirtilir.",manuel-exacor.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d46,,,,,presentation,general,general,fr,factoid,easy,Quelles sont les différentes versions (publics) du DELF ?,"Le DELF existe en plusieurs versions : le DELF tout public (adultes), le DELF junior et le DELF scolaire (adolescents) et le DELF Prim (enfants) ; chaque version est adaptée au public visé.",Dispositif_DELF-DALF_v2022.pptx,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d47,,,,,presentation,A1,general,tr,factoid,medium,Épreuvelerin tablosuna göre DELF A1 sözlü epreuvesi kaç dakika sürer ve kaç bölümden oluşur?,"DELF A1 sözlü epreuvesi jüriyle 5 ila 7 dakikalık bir görüşmedir ve üç bölümden oluşur: entretien dirigé, échange d'informations ve dialogue simulé.",Tableau_epreuves_DD_AS.pdf,held_out,UNVALIDATED_NEEDS_DELF_EXPERT
d48,,,,,descripteur,general,PE,fr,definition,medium,"Dans l'exercice d'évaluation des productions écrites par niveaux, comment le correcteur procède-t-il ?","Le correcteur attribue un niveau (de A1 à B2) à chaque production, puis relie les niveaux aux descripteurs correspondants en justifiant son choix.",Niveaux_CECRL_PE_V2.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d49,,,,,methodologie,C1,PO,tr,factoid,medium,DALF C1 sözlü üretim epreuvesi hangi iki bölümden oluşur?,DALF C1 sözlü üretim iki bölümden oluşur: gerekçeli bir görüşün savunulduğu bir exposé (sunum) ve ardından jüriyle bir tartışma (interaction/débat).,DALF C1-PO-Méthodologie-VD.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
d50,,,,,descripteur,A2,general,fr,definition,easy,"D'après les mots-clés, quelles sont les principales caractéristiques du niveau A2 ?","Le niveau A2 (intermédiaire ou de survie) est caractérisé par : les activités de la vie quotidienne et les besoins immédiats, les thèmes personnels élargis, des phrases simples et isolées, un langage clair et audible, et des fonctions du langage comme saluer et demander des informations.",niveaux_mots_cles.pdf,dev,UNVALIDATED_NEEDS_DELF_EXPERT
